from,to,weight,prob
0,1,13,0.8724651499279499
0,2,27,0.8709413642492037
0,3,79,0.6760816497888249
0,4,13,0.6781085719584777
0,5,87,0.6579607909051591
0,6,93,0.8603974920770707
0,7,67,0.8267797051627725
0,8,10,0.8776422101389302
0,9,64,0.7520751549553976
0,10,53,0.6806630829559547
0,11,55,0.9042483099042379
0,12,15,0.8689195360081453
0,13,58,0.6736400594235374
0,14,90,0.8355559257092738
0,15,83,0.707686577076998
0,16,94,0.7183694826954641
0,17,20,0.906595316304544
0,18,58,0.7333920809330277
0,19,56,0.6987962291468255
0,20,95,0.730093346614734
0,21,92,0.6714207528735645
0,22,78,0.8687380393851047
0,23,58,0.7309843480352833
0,24,98,0.8170849231323939
0,25,17,0.7187144215892314
0,26,50,0.7703494361066987
0,27,82,0.9129102879418006
0,28,93,0.7997693778476832
0,29,92,0.7876555557762196
0,30,41,0.8734966946274819
0,31,84,0.778530148188374
0,32,56,0.715796227747185
0,33,75,0.7980547504668893
0,34,24,0.6958523958044783
0,35,97,0.7766479900399053
0,36,58,0.8287665285083384
0,37,42,0.9413235132840854
0,38,11,0.8540850230769556
0,39,78,0.875263339877483
0,40,53,0.683465652078763
0,41,68,0.6509735948305188
0,42,43,0.9415664296610342
0,43,74,0.9237883518034461
0,44,48,0.9025008044517401
0,45,35,0.6958517805648905
0,46,79,0.9360499242960507
0,47,10,0.8296833753380687
0,48,24,0.9287295848793851
0,49,49,0.7218356931014176
1,2,82,0.9340848335893982
1,3,72,0.8948069760260265
1,4,78,0.8797503287920962
1,5,70,0.9340546039114972
1,6,77,0.9117299123255772
1,7,37,0.928674047900653
1,8,98,0.7103453190169088
1,9,95,0.844963417291836
1,10,76,0.785445842417339
1,11,18,0.7514256686442367
1,12,39,0.8265320343231053
1,13,100,0.8393308871810297
1,14,14,0.9078906200761239
1,15,40,0.7335431791893641
1,16,79,0.6896935546175075
1,17,83,0.82286349491627
1,18,70,0.892249099329993
1,19,22,0.847694824854399
1,20,62,0.7901074004110025
1,21,96,0.8460366464797374
1,22,17,0.7707863846306806
1,23,23,0.7245969001760857
1,24,67,0.6920546891284324
1,25,69,0.7249419343646302
1,26,66,0.8924066734195107
1,27,22,0.6651764988574644
1,28,11,0.9406988771854253
1,29,40,0.6998933331811742
1,30,37,0.9093951182090646
1,31,31,0.7636919356930748
1,32,43,0.9279554220677999
1,33,46,0.7769022457970489
1,34,81,0.8485613935852235
1,35,34,0.7390123476483692
1,36,84,0.870721153636713
1,37,50,0.6671495818722449
1,38,74,0.9258161392496225
1,39,17,0.9382336709823351
1,40,33,0.6705563998111377
1,41,40,0.7711326653954832
1,42,82,0.7238646043365875
1,43,89,0.6745950216484626
1,44,82,0.8068348146595876
1,45,36,0.8509177924309488
1,46,43,0.7687357540373764
1,47,48,0.7871673717711356
1,48,19,0.652794637065274
1,49,82,0.9488289343565283
2,3,37,0.8017654082146296
2,4,54,0.9142592521059318
2,5,57,0.735496217364997
2,6,79,0.8610619775262113
2,7,93,0.808682207780681
2,8,80,0.7398136256599934
2,9,27,0.7293397764461383
2,10,80,0.6966343729324972
2,11,36,0.8652836561416394
2,12,91,0.9058738446175691
2,13,42,0.9216009473237969
2,14,21,0.8402853341927583
2,15,15,0.6510637067263347
2,16,91,0.9439393861486507
2,17,66,0.8155041263379174
2,18,11,0.6835621641768005
2,19,98,0.9211785714679679
2,20,57,0.8247528699469382
2,21,26,0.6625486574506574
2,22,15,0.9196773909579423
2,23,41,0.8500800231906629
2,24,81,0.9152404104353027
2,25,89,0.8748432833430617
2,26,40,0.9093817088659892
2,27,32,0.9144248613989973
2,28,52,0.8847159488442895
2,29,95,0.9092192085125839
2,30,44,0.6977593528942194
2,31,58,0.9116500348718268
2,32,38,0.7098718490077256
2,33,54,0.7415572602015802
2,34,39,0.7168770641617427
2,35,61,0.748478585359312
2,36,45,0.7553438387248257
2,37,96,0.944344906159478
2,38,13,0.6846025255554283
2,39,32,0.8241769201216124
2,40,14,0.6825207641644133
2,41,50,0.7809181651611824
2,42,24,0.7655586300034182
2,43,42,0.6633159601139693
2,44,76,0.9276725496497248
2,45,95,0.7091105387305203
2,46,95,0.9262312568654121
2,47,94,0.9044045838519006
2,48,48,0.8021367512105807
2,49,51,0.7707201161173174
3,4,26,0.7075520278970443
3,5,58,0.8531953835818198
3,6,88,0.8207315764597428
3,7,10,0.7411624847805062
3,8,84,0.8319984711439288
3,9,66,0.7826479397914422
3,10,70,0.8881206197318006
3,11,31,0.8476552234995265
3,12,94,0.8398822567297387
3,13,40,0.8518387011671501
3,14,35,0.6942061886737318
3,15,70,0.8333821919182041
3,16,68,0.7743323032993158
3,17,34,0.8655037746496965
3,18,61,0.7231953318735317
3,19,10,0.91779794786341
3,20,23,0.8835261220301975
3,21,99,0.8053873251331223
3,22,41,0.925241004336632
3,23,27,0.8904249805166793
3,24,81,0.8286356955408258
3,25,66,0.8337956968285288
3,26,74,0.7780222270575967
3,27,67,0.9191624309699786
3,28,70,0.7850209271740725
3,29,91,0.7331934059392221
3,30,72,0.8380245310945343
3,31,19,0.8640634587833169
3,32,52,0.7459128705256287
3,33,27,0.695249197403926
3,34,29,0.8619257425083656
3,35,62,0.7492644173114251
3,36,17,0.7120503168543231
3,37,84,0.93381861007703
3,38,83,0.7641143086783135
3,39,55,0.7395837957117151
3,40,63,0.8114661702830694
3,41,87,0.9193434042197586
3,42,44,0.780750792813991
3,43,53,0.8506620861868751
3,44,31,0.9021516989187676
3,45,89,0.8102370888597513
3,46,85,0.8193175949074323
3,47,92,0.7785838308983284
3,48,33,0.6650853900465883
3,49,37,0.7864097975049447
4,5,58,0.7334769846916418
4,6,63,0.7256814595347142
4,7,12,0.8747072783248552
4,8,54,0.7172666497159245
4,9,93,0.66207744126223
4,10,41,0.7098082047087599
4,11,29,0.7215634825666718
4,12,24,0.8191908745790057
4,13,99,0.726873108968656
4,14,87,0.8321742481672795
4,15,24,0.8833375658526298
4,16,49,0.682429624897282
4,17,49,0.8227390185237242
4,18,58,0.7689963324549882
4,19,19,0.8276293583749557
4,20,41,0.680570391633793
4,21,97,0.8301234844450532
4,22,82,0.8847906039083059
4,23,64,0.8484564022062068
4,24,92,0.752369352458385
4,25,72,0.6816616611931996
4,26,91,0.9174725044415308
4,27,29,0.7806461435023031
4,28,93,0.7310247189162202
4,29,78,0.8823924351114724
4,30,85,0.7305186614147676
4,31,21,0.7336784747577411
4,32,69,0.8209548934034967
4,33,53,0.6586099993310269
4,34,33,0.7962649797174033
4,35,43,0.7521016529492851
4,36,99,0.914032203576569
4,37,76,0.9344187733331093
4,38,62,0.7965733540546363
4,39,98,0.7928279332352495
4,40,67,0.8878798604396951
4,41,38,0.7713203386033785
4,42,94,0.8244666755997101
4,43,77,0.7531272182438608
4,44,80,0.749237389158779
4,45,44,0.7419868974046491
4,46,34,0.744664383201796
4,47,98,0.7055449527312986
4,48,71,0.7329498880906068
4,49,77,0.8290372221536905
5,6,34,0.7388739389795433
5,7,48,0.6542445101768192
5,8,45,0.6636547102949655
5,9,47,0.8592252178730583
5,10,72,0.6807762940363282
5,11,46,0.7908190834791531
5,12,33,0.9396492929414884
5,13,71,0.6842261422174774
5,14,72,0.6722246510766919
5,15,16,0.695518102085287
5,16,48,0.675554272518869
5,17,81,0.8793330335978582
5,18,89,0.7177061411195104
5,19,67,0.9225513132871411
5,20,85,0.9470093781400393
5,21,89,0.6680690913117623
5,22,22,0.9342770600976134
5,23,37,0.7293938375870023
5,24,40,0.7021440644979303
5,25,10,0.772555271798008
5,26,70,0.7373777867093083
5,27,100,0.7348155119336863
5,28,19,0.8562154760213728
5,29,90,0.8269368767615773
5,30,35,0.7775416898312635
5,31,92,0.6946968203225987
5,32,28,0.6714229510567442
5,33,49,0.8285132111958213
5,34,46,0.7817460346021212
5,35,48,0.8599201054927151
5,36,74,0.8119944687794042
5,37,86,0.6619582352550839
5,38,51,0.8311140922837732
5,39,39,0.938573330657851
5,40,83,0.826136879512935
5,41,96,0.8964263735775151
5,42,32,0.7911502469754901
5,43,45,0.7044467441669378
5,44,91,0.894273483362181
5,45,70,0.7543883168883951
